home_team,away_team,season,prediction,prediction_letter,prob_home,prob_draw,prob_away
Burnley,Arsenal,2017-2018,Away,A,0.24365437030792236,0.21872438490390778,0.537621259689331
Burnley,Swansea City,2017-2018,Home,H,0.4357920289039612,0.2490992248058319,0.3151087462902069
Burnley,Liverpool,2017-2018,Away,A,0.22297030687332153,0.21435220539569855,0.5626775026321411
Burnley,Tottenham Hotspur,2017-2018,Away,A,0.21575269103050232,0.22194001078605652,0.5623072981834412
Burnley,Chelsea,2017-2018,Away,A,0.24597316980361938,0.21688443422317505,0.5371423959732056
Burnley,Crystal Palace,2017-2018,Home,H,0.40080103278160095,0.26881229877471924,0.3303866684436798
Burnley,Southampton,2017-2018,Away,A,0.3456423878669739,0.2513439655303955,0.4030136466026306
Burnley,West Ham United,2017-2018,Home,H,0.3894173800945282,0.2929953932762146,0.3175872266292572
Burnley,Stoke City,2017-2018,Home,H,0.37548404932022095,0.2934493124485016,0.33106663823127747
Brighton and Hove Albion,Watford,2017-2018,Home,H,0.4475875496864319,0.29160818457603455,0.26080429553985596
Brighton and Hove Albion,AFC Bournemouth,2017-2018,Home,H,0.42983344197273254,0.28346937894821167,0.2866972088813782
Brighton and Hove Albion,Leicester City,2017-2018,Home,H,0.40428632497787476,0.2991126775741577,0.29660099744796753
Brighton and Hove Albion,Manchester United,2017-2018,Away,A,0.2680204510688782,0.2406199425458908,0.4913596510887146
Brighton and Hove Albion,Burnley,2017-2018,Home,H,0.4048037827014923,0.32725030183792114,0.2679459750652313
Brighton and Hove Albion,Manchester City,2017-2018,Away,A,0.2231181263923645,0.2412208914756775,0.535660982131958
Brighton and Hove Albion,Everton,2017-2018,Home,H,0.3429107069969177,0.3150445520877838,0.3420447111129761
Brighton and Hove Albion,West Bromwich Albion,2017-2018,Home,H,0.40537065267562866,0.3524741530418396,0.24215516448020935
Brighton and Hove Albion,Huddersfield Town,2017-2018,Home,H,0.48340344429016113,0.2934321165084839,0.22316451370716095
Brighton and Hove Albion,Newcastle United,2017-2018,Home,H,0.43027883768081665,0.3294183611869812,0.24030278623104095
Brighton and Hove Albion,Arsenal,2017-2018,Away,A,0.23067110776901245,0.2389853596687317,0.5303435325622559
Brighton and Hove Albion,Swansea City,2017-2018,Home,H,0.4637640118598938,0.2757894694805145,0.2604465186595917
Brighton and Hove Albion,Liverpool,2017-2018,Away,A,0.21682465076446533,0.23010903596878052,0.5530663132667542
Brighton and Hove Albion,Tottenham Hotspur,2017-2018,Away,A,0.21427865326404572,0.24529385566711426,0.5404274463653564
Brighton and Hove Albion,Chelsea,2017-2018,Away,A,0.25094375014305115,0.2402237504720688,0.5088325142860413
Brighton and Hove Albion,Crystal Palace,2017-2018,Home,H,0.40934067964553833,0.28058651089668274,0.31007280945777893
Brighton and Hove Albion,Southampton,2017-2018,Home,H,0.3699403703212738,0.2710881531238556,0.3589714765548706
Brighton and Hove Albion,West Ham United,2017-2018,Home,H,0.4345378875732422,0.287903755903244,0.2775583863258362
Brighton and Hove Albion,Stoke City,2017-2018,Home,H,0.4012373089790344,0.31464508175849915,0.2841176390647888
Manchester City,Watford,2017-2018,Home,H,0.6778019070625305,0.18527726829051971,0.13692079484462738
Manchester City,AFC Bournemouth,2017-2018,Home,H,0.6410096883773804,0.21194574236869812,0.1470445692539215
Manchester City,Leicester City,2017-2018,Home,H,0.6652736067771912,0.18878571689128876,0.14594070613384247
Manchester City,Manchester United,2017-2018,Home,H,0.5344842076301575,0.25582435727119446,0.20969140529632568
Manchester City,Burnley,2017-2018,Home,H,0.6809178590774536,0.18868955969810486,0.13039256632328033
Manchester City,Brighton and Hove Albion,2017-2018,Home,H,0.7092966437339783,0.17260028421878815,0.11810309439897537
Manchester City,Everton,2017-2018,Home,H,0.6066036820411682,0.2320151925086975,0.16138114035129547
Manchester City,West Bromwich Albion,2017-2018,Home,H,0.6859704256057739,0.18393170833587646,0.13009785115718842
Manchester City,Huddersfield Town,2017-2018,Home,H,0.7092966437339783,0.17260028421878815,0.11810309439897537
Manchester City,Newcastle United,2017-2018,Home,H,0.6651186943054199,0.19270585477352142,0.14217546582221985
Manchester City,Arsenal,2017-2018,Home,H,0.484314501285553,0.29434868693351746,0.22133676707744598
Manchester City,Swansea City,2017-2018,Home,H,0.6716902852058411,0.18650399148464203,0.1418057382106781
Manchester City,Liverpool,2017-2018,Home,H,0.462005615234375,0.290963351726532,0.247031107544899
Manchester City,Tottenham Hotspur,2017-2018,Home,H,0.43965786695480347,0.3099731504917145,0.25036895275115967
Manchester City,Chelsea,2017-2018,Home,H,0.5383337736129761,0.25207483768463135,0.20959140360355377
Manchester City,Crystal Palace,2017-2018,Home,H,0.6451831459999084,0.19686606526374817,0.15795081853866577
Manchester City,Southampton,2017-2018,Home,H,0.6107858419418335,0.20344047248363495,0.18577365577220917
Manchester City,West Ham United,2017-2018,Home,H,0.6648022532463074,0.19771377742290497,0.13748396933078766
Manchester City,Stoke City,2017-2018,Home,H,0.6689665913581848,0.19055891036987305,0.14047454297542572
Everton,Watford,2017-2018,Home,H,0.5527870655059814,0.27557069063186646,0.1716422736644745
Everton,AFC Bournemouth,2017-2018,Home,H,0.4748479723930359,0.3020418882369995,0.2231101393699646
Everton,Leicester City,2017-2018,Home,H,0.5091404318809509,0.29691269993782043,0.19394685328006744
Everton,Manchester United,2017-2018,Away,A,0.3321618437767029,0.28400641679763794,0.3838317394256592
Everton,Burnley,2017-2018,Home,H,0.5660189986228943,0.2746317386627197,0.15934927761554718
Everton,Brighton and Hove Albion,2017-2018,Home,H,0.6385382413864136,0.2131471484899521,0.14831459522247314
Everton,Manchester City,2017-2018,Away,A,0.27910998463630676,0.2578584551811218,0.4630315899848938
Everton,West Bromwich Albion,2017-2018,Home,H,0.5699020028114319,0.26889413595199585,0.16120387613773346
Everton,Huddersfield Town,2017-2018,Home,H,0.6385382413864136,0.2131471484899521,0.14831459522247314
Everton,Newcastle United,2017-2018,Home,H,0.5284247398376465,0.2872298061847687,0.18434543907642365
Everton,Arsenal,2017-2018,Away,A,0.2998180687427521,0.2863519489765167,0.4138299524784088
Everton,Swansea City,2017-2018,Home,H,0.49948787689208984,0.2937159240245819,0.20679619908332825
Everton,Liverpool,2017-2018,Away,A,0.2806246280670166,0.25471073389053345,0.46466466784477234
Everton,Tottenham Hotspur,2017-2018,Away,A,0.2835141718387604,0.2769583761692047,0.4395274817943573
Everton,Chelsea,2017-2018,Away,A,0.33671605587005615,0.27216801047325134,0.39111587405204773
Everton,Crystal Palace,2017-2018,Home,H,0.4872206747531891,0.29144275188446045,0.22133655846118927
Everton,Southampton,2017-2018,Home,H,0.43420013785362244,0.2848300635814667,0.2809697687625885
Everton,West Ham United,2017-2018,Home,H,0.5277262926101685,0.2855445146560669,0.18672920763492584
Everton,Stoke City,2017-2018,Home,H,0.523622989654541,0.2820795178413391,0.19429747760295868
West Bromwich Albion,Watford,2017-2018,Home,H,0.44400760531425476,0.28060486912727356,0.2753875255584717
West Bromwich Albion,AFC Bournemouth,2017-2018,Home,H,0.4130462408065796,0.2651033103466034,0.32185041904449463
West Bromwich Albion,Leicester City,2017-2018,Home,H,0.38878899812698364,0.2959463596343994,0.31526467204093933
West Bromwich Albion,Manchester United,2017-2018,Away,A,0.2725164294242859,0.23063692450523376,0.49684667587280273
West Bromwich Albion,Burnley,2017-2018,Home,H,0.4498126804828644,0.29844748973846436,0.2517397999763489
West Bromwich Albion,Brighton and Hove Albion,2017-2018,Home,H,0.5219531655311584,0.23618318140506744,0.2418636828660965
West Bromwich Albion,Manchester City,2017-2018,Away,A,0.23152199387550354,0.21469487249851227,0.553783118724823
West Bromwich Albion,Everton,2017-2018,Away,A,0.3378292918205261,0.28668856620788574,0.37548214197158813
West Bromwich Albion,Huddersfield Town,2017-2018,Home,H,0.5219531655311584,0.23618318140506744,0.2418636828660965
West Bromwich Albion,Newcastle United,2017-2018,Home,H,0.4384830594062805,0.2846585810184479,0.2768583297729492
West Bromwich Albion,Arsenal,2017-2018,Away,A,0.2461395114660263,0.2175350785255432,0.5363253951072693
West Bromwich Albion,Swansea City,2017-2018,Home,H,0.44561031460762024,0.2581356167793274,0.29625403881073
West Bromwich Albion,Liverpool,2017-2018,Away,A,0.2326364517211914,0.21184909343719482,0.5555144548416138
West Bromwich Albion,Tottenham Hotspur,2017-2018,Away,A,0.22416004538536072,0.22174948453903198,0.5540904998779297
West Bromwich Albion,Chelsea,2017-2018,Away,A,0.2662532329559326,0.21459640562534332,0.5191503763198853
West Bromwich Albion,Crystal Palace,2017-2018,Home,H,0.4106769561767578,0.26679250597953796,0.3225305378437042
West Bromwich Albion,Southampton,2017-2018,Away,A,0.35413432121276855,0.2662085294723511,0.37965720891952515
West Bromwich Albion,West Ham United,2017-2018,Home,H,0.4040345549583435,0.29760491847991943,0.29836052656173706
West Bromwich Albion,Stoke City,2017-2018,Home,H,0.4032854437828064,0.2978627681732178,0.29885175824165344
Huddersfield Town,Watford,2017-2018,Home,H,0.4475875496864319,0.29160818457603455,0.26080429553985596
Huddersfield Town,AFC Bournemouth,2017-2018,Home,H,0.42983344197273254,0.28346937894821167,0.2866972088813782
Huddersfield Town,Leicester City,2017-2018,Home,H,0.40428632497787476,0.2991126775741577,0.29660099744796753
Huddersfield Town,Manchester United,2017-2018,Away,A,0.2680204510688782,0.2406199425458908,0.4913596510887146
Huddersfield Town,Burnley,2017-2018,Home,H,0.4048037827014923,0.32725030183792114,0.2679459750652313
Huddersfield Town,Brighton and Hove Albion,2017-2018,Home,H,0.48340344429016113,0.2934321165084839,0.22316451370716095
Huddersfield Town,Manchester City,2017-2018,Away,A,0.2231181263923645,0.2412208914756775,0.535660982131958
Huddersfield Town,Everton,2017-2018,Home,H,0.3429107069969177,0.3150445520877838,0.3420447111129761
Huddersfield Town,West Bromwich Albion,2017-2018,Home,H,0.40537065267562866,0.3524741530418396,0.24215516448020935
Huddersfield Town,Newcastle United,2017-2018,Home,H,0.43027883768081665,0.3294183611869812,0.24030278623104095
Huddersfield Town,Arsenal,2017-2018,Away,A,0.23067110776901245,0.2389853596687317,0.5303435325622559
Huddersfield Town,Swansea City,2017-2018,Home,H,0.4637640118598938,0.2757894694805145,0.2604465186595917
Huddersfield Town,Liverpool,2017-2018,Away,A,0.21682465076446533,0.23010903596878052,0.5530663132667542
Huddersfield Town,Tottenham Hotspur,2017-2018,Away,A,0.21427865326404572,0.24529385566711426,0.5404274463653564
Huddersfield Town,Chelsea,2017-2018,Away,A,0.25094375014305115,0.2402237504720688,0.5088325142860413
Huddersfield Town,Crystal Palace,2017-2018,Home,H,0.40934067964553833,0.28058651089668274,0.31007280945777893
Huddersfield Town,Southampton,2017-2018,Home,H,0.3699403703212738,0.2710881531238556,0.3589714765548706
Huddersfield Town,West Ham United,2017-2018,Home,H,0.4345378875732422,0.287903755903244,0.2775583863258362
Huddersfield Town,Stoke City,2017-2018,Home,H,0.4012373089790344,0.31464508175849915,0.2841176390647888
Newcastle United,Watford,2017-2018,Home,H,0.4295923709869385,0.31187453866004944,0.2585330903530121
Newcastle United,AFC Bournemouth,2017-2018,Home,H,0.3833600580692291,0.2859584391117096,0.33068153262138367
Newcastle United,Leicester City,2017-2018,Home,H,0.3873498737812042,0.3111759424209595,0.3014742136001587
Newcastle United,Manchester United,2017-2018,Away,A,0.24564151465892792,0.23680342733860016,0.5175550580024719
Newcastle United,Burnley,2017-2018,Home,H,0.45113441348075867,0.3109966218471527,0.2378690242767334
Newcastle United,Brighton and Hove Albion,2017-2018,Home,H,0.5283594131469727,0.2134294956922531,0.25821107625961304
Newcastle United,Manchester City,2017-2018,Away,A,0.21118322014808655,0.22373133897781372,0.5650854706764221
Newcastle United,Everton,2017-2018,Away,A,0.3155492842197418,0.2886090874671936,0.3958415985107422
Newcastle United,West Bromwich Albion,2017-2018,Home,H,0.44712549448013306,0.3041837513446808,0.24869075417518616
Newcastle United,Huddersfield Town,2017-2018,Home,H,0.5283594131469727,0.2134294956922531,0.25821107625961304
Newcastle United,Arsenal,2017-2018,Away,A,0.22510285675525665,0.22461296617984772,0.550284206867218
Newcastle United,Swansea City,2017-2018,Home,H,0.4377185106277466,0.27926304936408997,0.28301846981048584
Newcastle United,Liverpool,2017-2018,Away,A,0.2187255620956421,0.2277514785528183,0.5535229444503784
Newcastle United,Tottenham Hotspur,2017-2018,Away,A,0.20986051857471466,0.23430410027503967,0.5558353662490845
Newcastle United,Chelsea,2017-2018,Away,A,0.23861980438232422,0.22542235255241394,0.5359578728675842
Newcastle United,Crystal Palace,2017-2018,Home,H,0.40599891543388367,0.2879520058631897,0.3060491383075714
Newcastle United,Southampton,2017-2018,Away,A,0.3308650851249695,0.26452526450157166,0.40460968017578125
Newcastle United,West Ham United,2017-2018,Home,H,0.4125460684299469,0.2907280921936035,0.296725869178772
Newcastle United,Stoke City,2017-2018,Home,H,0.3941313326358795,0.3183693289756775,0.2874993085861206
Arsenal,Watford,2017-2018,Home,H,0.6328392028808594,0.20869486033916473,0.15846595168113708
Arsenal,AFC Bournemouth,2017-2018,Home,H,0.5819951891899109,0.2548687160015106,0.1631360948085785
Arsenal,Leicester City,2017-2018,Home,H,0.6179438829421997,0.21431593596935272,0.16774019598960876
Arsenal,Manchester United,2017-2018,Home,H,0.46009546518325806,0.28287473320961,0.25702980160713196
Arsenal,Burnley,2017-2018,Home,H,0.642326295375824,0.2039254605770111,0.1537482738494873
Arsenal,Brighton and Hove Albion,2017-2018,Home,H,0.6721146702766418,0.18521806597709656,0.1426672637462616
Arsenal,Manchester City,2017-2018,Home,H,0.3710424602031708,0.30707836151123047,0.32187923789024353
Arsenal,Everton,2017-2018,Home,H,0.5470852851867676,0.2721800208091736,0.18073469400405884
Arsenal,West Bromwich Albion,2017-2018,Home,H,0.6495988368988037,0.1947355419397354,0.15566565096378326
Arsenal,Huddersfield Town,2017-2018,Home,H,0.6721146702766418,0.18521806597709656,0.1426672637462616
Arsenal,Newcastle United,2017-2018,Home,H,0.6166784763336182,0.2192065566778183,0.16411493718624115
Arsenal,Swansea City,2017-2018,Home,H,0.5931875705718994,0.24444027245044708,0.1623721420764923
Arsenal,Liverpool,2017-2018,Home,H,0.386011004447937,0.3054554760456085,0.30853354930877686
Arsenal,Tottenham Hotspur,2017-2018,Home,H,0.37131959199905396,0.32438337802886963,0.30429700016975403
Arsenal,Chelsea,2017-2018,Home,H,0.4360184967517853,0.3092939555644989,0.2546875476837158
Arsenal,Crystal Palace,2017-2018,Home,H,0.6014066934585571,0.21239285171031952,0.18620041012763977
Arsenal,Southampton,2017-2018,Home,H,0.5232056379318237,0.2649421989917755,0.21185219287872314
Arsenal,West Ham United,2017-2018,Home,H,0.6027950644493103,0.2403581291437149,0.1568467766046524
Arsenal,Stoke City,2017-2018,Home,H,0.6122904419898987,0.21710392832756042,0.1706056296825409
Swansea City,Watford,2017-2018,Home,H,0.4294579029083252,0.2911001741886139,0.27944186329841614
Swansea City,AFC Bournemouth,2017-2018,Home,H,0.3903058171272278,0.2837047576904297,0.32598939538002014
Swansea City,Leicester City,2017-2018,Home,H,0.3982279896736145,0.3057584762573242,0.29601356387138367
Swansea City,Manchester United,2017-2018,Away,A,0.23878267407417297,0.24809303879737854,0.5131242871284485
Swansea City,Burnley,2017-2018,Home,H,0.43073341250419617,0.31722012162208557,0.25204646587371826
Swansea City,Brighton and Hove Albion,2017-2018,Home,H,0.49954700469970703,0.22774557769298553,0.27270740270614624
Swansea City,Manchester City,2017-2018,Away,A,0.20284685492515564,0.22644826769828796,0.5707048773765564
