home_team,away_team,season,prob_home,prob_draw,prob_away
Arsenal,Norwich City,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Swansea City,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Queens Park Rangers,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Southampton,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Crystal Palace,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Cardiff City,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Leicester City,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,AFC Bournemouth,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Manchester United,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Chelsea,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Liverpool,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Arsenal,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Bolton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Reading,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Blackburn Rovers,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Everton,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Portsmouth,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Middlesbrough,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,West Ham United,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Aston Villa,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Manchester City,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Newcastle United,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Sheffield United,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Wigan Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Charlton Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Fulham,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Watford,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Sunderland,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Birmingham City,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Derby County,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Stoke City,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Hull City,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,West Bromwich Albion,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Wolverhampton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Burnley,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Blackpool,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Norwich City,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Swansea City,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Queens Park Rangers,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Southampton,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Crystal Palace,2017-2018,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Cardiff City,2017-2018,0.43658036,0.27725303,0.2861666
